32	RELATION	291		<!-- ThesaurusNotionType	RELATION	partial_equivalence_Type -->
32	RELATION	292		<!-- ThesaurusNotionType	RELATION	broader_equivalence_Type -->
32	RELATION	293		<!-- ThesaurusNotionType	RELATION	narrower_equivalence_Type -->
32	RELATION	294		<!-- ThesaurusNotionType	RELATION	inexact_equivalence_Type -->
32	RELATION	295		<!-- ThesaurusNotionType	RELATION	single_to_multiple_equivalence_Type -->
32	RELATION	304		<!-- ThesaurusNotionType	RELATION	composite_links -->
32	RELATION	307		<!-- ThesaurusNotionType	RELATION	Thesaurus_attribute -->
33	Neo4j_Id	33
33	Logicalname	ThesaurusNotion
33	LABEL	Common
33	LABEL	Generic
33	LABEL	S_Class
33	LABEL	Type_Individual
33	INSTANCEOF	32		<!-- ThesaurusNotion	INSTANCEOF	ThesaurusNotionType -->
34	Neo4j_Id	34
34	Logicalname	ThesaurusExpressionType
34	LABEL	Common
34	LABEL	Generic
34	LABEL	M1_Class
34	LABEL	Type_Individual
34	ISA	32		<!-- ThesaurusExpressionType	ISA	ThesaurusNotionType -->
35	Neo4j_Id	35
35	Logicalname	ThesaurusExpression
35	LABEL	Common
35	LABEL	Generic
35	LABEL	S_Class
35	LABEL	Type_Individual
35	INSTANCEOF	34		<!-- ThesaurusExpression	INSTANCEOF	ThesaurusExpressionType -->
35	ISA	33		<!-- ThesaurusExpression	ISA	ThesaurusNotion -->
36	Neo4j_Id	36
36	Logicalname	Term
36	LABEL	Common
36	LABEL	Generic
36	LABEL	S_Class
36	LABEL	Type_Individual
36	INSTANCEOF	34		<!-- Term	INSTANCEOF	ThesaurusExpressionType -->
36	ISA	35		<!-- Term	ISA	ThesaurusExpression -->
36	RELATION	302		<!-- Term	RELATION	Translation -->
37	Neo4j_Id	37
37	Logicalname	PreferredTerm
37	LABEL	Common
37	LABEL	Generic
37	LABEL	S_Class
37	LABEL	Type_Individual
37	INSTANCEOF	34		<!-- PreferredTerm	INSTANCEOF	ThesaurusExpressionType -->
37	ISA	36		<!-- PreferredTerm	ISA	Term -->
38	Neo4j_Id	38
38	Logicalname	AlternativeTerm
38	LABEL	Common
38	LABEL	Generic
38	LABEL	S_Class
38	LABEL	Type_Individual
38	INSTANCEOF	32		<!-- AlternativeTerm	INSTANCEOF	ThesaurusNotionType -->
38	ISA	37		<!-- AlternativeTerm	ISA	PreferredTerm -->
39	Neo4j_Id	39
39	Logicalname	AssumedDescriptor
39	LABEL	Common
39	LABEL	Generic
39	LABEL	S_Class
39	LABEL	Type_Individual
39	INSTANCEOF	32		<!-- AssumedDescriptor	INSTANCEOF	ThesaurusNotionType -->
39	ISA	33		<!-- AssumedDescriptor	ISA	ThesaurusNotion -->
40	Neo4j_Id	40
40	Logicalname	Descriptor
40	LABEL	Common
40	LABEL	Generic
40	LABEL	S_Class
40	LABEL	Type_Individual
40	INSTANCEOF	32		<!-- Descriptor	INSTANCEOF	ThesaurusNotionType -->
40	ISA	37		<!-- Descriptor	ISA	PreferredTerm -->
40	ISA	39		<!-- Descriptor	ISA	AssumedDescriptor -->
40	ISA	41		<!-- Descriptor	ISA	HierarchyTerm -->
40	RELATION	286		<!-- Descriptor	RELATION	BT -->
41	Neo4j_Id	41
